platform,developer,releasedate,metascore
PS2,Midway,23-Oct-00,75
PS,Blitz Games,13-Nov-00,75
N64,Factor 5,14-Dec-00,75
PS2,Taito Corporation,26-Nov-00,75
DC,Pipe Dream Interactive,20-Nov-00,75
PS2,Koei,13-Nov-00,75
PS2,Omega Force,25-Oct-00,75
PS,Paradox Development,11-Jul-00,75
PC,Paradox Interactive,14-Jan-00,75
PS,SCEI,11-Jun-00,74
DC,Hasbro Interactive,30-Sep-00,74
DC,Capcom,14-Nov-00,74
PS2,Volition Inc.,25-Oct-00,74
PC,14 Degrees East,21-Jun-00,74
PC,Bizarre Creations,24-Nov-00,74
DC,Terminal Reality,30-Oct-00,74
DC,CRI,27-Aug-00,74
PC,Nihilistic,7-Jun-00,74
PC,NovaLogic,7-Nov-00,74
PS,3DO,26-Sep-00,74
DC,Argonaut Games,31-Oct-00,73
PC,Attention To Detail,10-Oct-00,73
PC,Monolith Productions,26-Sep-00,73
PC,"Z-Axis, Ltd.",14-Dec-00,73
DC,Psikyo,14-Nov-00,73
PC,Terminal Reality,4-Oct-00,73
DC,"Z-Axis, Ltd.",20-Nov-00,73
PC,Minds-Eye Productions,29-Nov-00,73
PS,989 Sports,30-Oct-00,73
PC,Terminal Reality,29-Oct-00,73
PS2,Konami,24-Oct-00,73
PS2,Game Arts,24-Oct-00,73
PC,Io Interactive,19-Nov-00,73
PS2,Disney Interactive,13-Dec-00,73
PS,Page 44 Studios,21-Nov-00,73
PC,Deibus Studios,14-Nov-00,73
DC,Namco,13-Nov-00,73
PS,Black Box,19-Sep-00,73
N64,Mass Media,12-Nov-00,73
PC,Activision,17-Nov-00,72
N64,Midway,12-Sep-00,72
N64,Edge of Reality,21-Nov-00,72
PS,Acclaim,16-Aug-00,72
PS,Artificial Mind and Movement,24-Nov-00,72
PS2,Konami Computer Entertainment Osaka,25-Oct-00,72
PS2,SCEJ,25-Oct-00,72
PC,Microsoft Game Studios,24-Aug-00,72
PC,Omni Creative Group,5-Dec-00,72
DC,Illusion Softworks,9-Jul-00,72
PC,"Hasbro Interactive, Blitz Games",1-Oct-00,72
PS,Minds-Eye Productions,6-Nov-00,71
PC,Dynamix,6-Sep-00,71
PC,Video System,1-Jul-00,71
PS,Black Ops Entertainment,6-Dec-00,71
N64,Rare Ltd.,13-Nov-00,71
PS,989 Sports,30-Oct-00,71
PC,SSI,28-Sep-00,71
DC,Ubisoft Montreal,13-Dec-00,71
PC,Third Law Interactive,18-Jul-00,71
PC,Techland,31-Jan-00,71
PS2,EA Sports,19-Dec-00,71
PC,Akella,24-Nov-00,71
PS,Circus Freak,13-Nov-00,71
PC,Cauldron Ltd.,29-Nov-00,70
PS,Radical Entertainment,30-Sep-00,70
DC,Bimboosoft,10-Dec-00,70
PC,Heuristic Park,27-Sep-00,70
PS,Midway,14-Sep-00,70
PS,Saffire,19-Sep-00,70
PC,Innerloop,15-Dec-00,70
PC,Image Space Incorporated,6-Dec-00,70
PC,Infogrames,30-Jun-00,70
DC,Midway,23-Oct-00,70
PC,Laminar Research,30-Nov-00,69
N64,Paradigm Entertainment,16-Sep-00,69
DC,Criterion Games,22-Aug-00,69
PS,989 Sports,21-Aug-00,69
PS,Studio 33,26-Sep-00,69
DC,WARP,22-Aug-00,69
DC,Innerloop,27-Nov-00,69
PS,Cunning Developments,26-Jul-00,69
PS,Capcom,29-Jul-00,69
PC,id Software,18-Dec-00,69
DC,Ubisoft Romania,5-Dec-00,69
PC,Ellipse Studios,9-Aug-00,69
PC,Zono Inc.,31-Jul-00,68
PS,Eurocom Entertainment Software,6-Nov-00,68
PS,Lost Toys,26-Jul-00,68
PC,Rayland Interactive,19-Jul-00,68
PC,Blue Tongue Entertainment,7-Nov-00,68
DC,Blitz Games,13-Nov-00,68
PS,Point of View,9-Nov-00,68
PC,3DO,27-Sep-00,67
PC,Egosoft,26-Jan-00,67
PC,Canal+ Multimedia,14-Jun-00,67
DC,Blue Planet Software,20-Dec-00,67
DC,"Luxoflux, Inc.",19-Nov-00,67
PS,Taito Corporation,25-Oct-00,67
PS,Visual Sciences,30-Sep-00,66
PS,UDS,22-Aug-00,66
PS,Kuusou Kagaku,19-Sep-00,66
PS2,EA Sports,6-Nov-00,66
PC,Cyan Worlds,14-Nov-00,66
PS,Matrix Software,15-Nov-00,66
DC,Yuke's,1-Aug-00,66
PC,Boku Strategy Games,17-Dec-00,66
DC,Crystal Dynamics,15-Nov-00,66
PS,Disney Interactive,13-Nov-00,66
N64,Disney Interactive,20-Dec-00,65
PS2,3DO,20-Dec-00,65
PC,Meyer / Glass Interactive,15-Oct-00,65
PS,EA Sports,13-Nov-00,65
PS,Ubisoft Shanghai,14-Nov-00,65
PC,Headgate,6-Nov-00,65
PS2,Ornith,29-Feb-00,65
DC,Climax Entertainment,28-Oct-00,65
DC,Crystal Dynamics,19-Jul-00,65
PS,Shaba Games,11-Dec-00,65
PC,Rewolf Software,19-Nov-00,65
PC,Sir-Tech Software Inc.,30-Nov-00,64
N64,Avalanche Software,12-Nov-00,64
PS2,Arika,24-Oct-00,64
PC,3DO,27-Sep-00,64
N64,Point of View,13-Nov-00,64
DC,Psikyo,17-Nov-00,64
PS2,KCET,13-Nov-00,64
PS2,Electronic Arts,23-Oct-00,64
PS2,Rage Software,25-Oct-00,64
PS,ACOT,1-Aug-00,64
PS2,KCET,23-Oct-00,63
PS,"Luxoflux, Inc.",12-Nov-00,63
DC,Konami,23-Oct-00,63
PC,Daydream Software,30-Apr-00,63
PC,Genetic Anomalies,14-Jul-00,63
PC,Funcom,30-Nov-00,63
PS2,Kemco,11-Dec-00,62
