platform,developer,releasedate,metascore
X360,Beenox,7-Sep-10,76
PC,devCAT,27-Oct-10,76
WII,Avalanche Software,15-Jun-10,76
DS,"Tetris Online, Inc",25-May-10,76
PC,Croteam,28-Apr-10,76
PC,W!Games,10-Dec-10,76
WII,EA Sports,7-Sep-10,76
PC,Binary Takeover,6-Jul-10,76
PS3,CyberConnect2,19-Oct-10,76
WII,Skip Ltd.,24-May-10,76
PC,Soldak Entertainment,31-Mar-10,76
PC,Telltale Games,20-Jul-10,76
PS3,"SCEA, Zindagi Games",7-Sep-10,76
WII,Press Play,8-Mar-10,76
PSP,Mediatonic,16-Nov-10,76
PC,Paradox Development Studio,13-Aug-10,75
X360,Remedy Entertainment,27-Jul-10,75
PC,Cockroach Inc.,14-Dec-10,75
PC,Electronic Arts,3-Nov-10,75
PC,Big Fish Games,31-Aug-10,75
PS3,Sega AM2,22-Apr-10,75
PS3,"Big Sandwich Games, Inc.",2-Nov-10,75
PC,Ubisoft Montreal,8-Jun-10,75
PSP,"Chillingo Ltd, Chillingo Ltd., Chillingo",28-Jan-10,75
PS3,Quantic Dream,4-Apr-10,75
PSP,Sting,5-Nov-10,75
DS,Renegade Kid,4-May-10,75
X360,Sumo Digital,23-Feb-10,75
PS3,Visceral Games,9-Feb-10,75
DS,"PlatinumGames, NUDE MAKER,Y.K.",16-Mar-10,75
PS3,"EA DICE, Danger Close",12-Oct-10,75
PS3,Ubisoft Montreal,18-May-10,75
X360,"Haemimont, Haemimont Games",16-Feb-10,75
PC,Valve Software,22-Apr-10,75
PC,Creative Assembly,25-Jul-10,75
PC,"Arcen Games, LLC",16-Jul-10,75
X360,Gas Powered Games,17-Mar-10,75
PS3,"Terminal Reality, 4mm Games",5-Oct-10,75
DS,Headstrong Games,26-Oct-10,75
PS3,2K Czech,24-Aug-10,75
PC,High Moon Studios,22-Jun-10,75
X360,Halfbrick Studios,29-Dec-10,75
X360,Yuke's,26-Oct-10,75
WII,Idea Factory,30-Mar-10,75
WII,EA Tiburon,10-Aug-10,75
PS3,Klei Entertainment,24-Aug-10,75
PC,Darkling Room,21-Apr-10,75
PC,Telltale Games,22-Jun-10,75
PSP,"Artoon, SCEJ",24-Feb-10,75
X360,"Harmonix Music Systems, Demiurge Studios",8-Jun-10,75
WII,Gaijin Games,25-Oct-10,75
X360,Vector Unit Inc.,28-Jul-10,75
X360,EA Canada,15-Nov-10,75
WII,Beenox,7-Sep-10,75
PC,Cadenza,15-Mar-10,75
PS3,Dimps Corporation,12-Oct-10,74
DS,WayForward,7-Sep-10,74
WII,Prope,24-Aug-10,74
DS,Zener Works,21-Jun-10,74
PC,Telltale Games,22-Dec-10,74
X360,Double Fine Productions,20-Oct-10,74
PC,The Sims Studio,26-Oct-10,74
PC,EA Redwood Shores,1-Jun-10,74
X360,"Dice, Danger Close",12-Oct-10,74
PSP,Kidguru Studios,8-Apr-10,74
X360,Game Republic,23-Nov-10,74
DS,Hudson Soft,22-Nov-10,74
DS,n-Space,9-Nov-10,74
PS3,Visual Concepts,2-Mar-10,74
PS3,Beenox,7-Sep-10,74
PS3,"Square Enix, Tri-Ace",8-Feb-10,74
X360,Blue Castle Games,27-Dec-10,74
PSP,SuperVillain Studios,3-May-10,74
X360,Tri-Ace,16-Mar-10,74
WII,Access Games,12-Jan-10,74
X360,"Terminal Reality, 4mm Games",5-Oct-10,74
X360,Valve Software,22-Apr-10,74
PS3,Yuke's,26-Oct-10,74
X360,Frontier Developments,4-Nov-10,74
WII,Over the Top Games,26-Jul-10,74
PS3,Neversoft Entertainment,28-Sep-10,74
PSP,Yuke's,7-Sep-10,74
DS,Sabarasa Entertainment,12-Jul-10,74
WII,Ubisoft,12-Oct-10,74
PS3,EA Montreal,12-Jan-10,74
PSP,Slant Six,16-Feb-10,74
X360,ACE Team,5-May-10,74
X360,CyberConnect2,19-Oct-10,74
X360,Twisted Pixel Games,6-Oct-10,74
X360,2K Czech,24-Aug-10,74
PSP,Craneballs Studios,7-Dec-10,74
X360,Milestone S.r.l,7-Dec-10,74
PS3,Gearbox Software,28-Sep-10,74
DS,Infinite Interactive,22-Jun-10,74
PS3,Supermassive Games,14-Sep-10,74
X360,Ubisoft Montreal,18-May-10,74
X360,Wanako Studios,8-Dec-10,74
PSP,Konami,2-Nov-10,74
PSP,Marvelous Entertainment,26-Apr-10,74
PSP,Acquire,29-Apr-10,73
PC,Avalanche Software,15-Jun-10,73
X360,Ubisoft Montreal,4-Nov-10,73
X360,EA Montreal,12-Jan-10,73
PS3,Capcom,4-Mar-10,73
WII,Intelligent Systems,29-Mar-10,73
DS,Artefacts Studio,3-Jul-10,73
WII,EA Sports,4-Oct-10,73
X360,Ubisoft Montreal,25-Aug-10,73
PC,Bohemia Interactive,29-Jun-10,73
PS3,Lightning Fish Games,20-Oct-10,73
PC,Two Tribes,3-Dec-10,73
PSP,"Climax Group, Climax Studios",19-Jan-10,73
PC,Ubisoft,29-Oct-10,73
PS3,Hydravision,30-Nov-10,73
DS,Griptonite Games,7-Sep-10,73
DS,"Namco Bandai Games America, Namco Bandai Games",5-Apr-10,73
DS,Tantalus,22-Mar-10,73
PC,Ludosity Interactive,22-Jan-10,73
WII,Keys Factory,18-Oct-10,73
PS3,Milestone S.r.l,7-Dec-10,73
X360,Gameloft,9-Jun-10,73
PSP,The Game Atelier,7-Dec-10,73
PS3,Telltale Games,22-Jun-10,73
WII,Junction Point,30-Nov-10,73
PC,Cyanide,28-Oct-10,73
PSP,SCEA San Diego Studios,24-May-10,73
X360,Visceral Games,9-Feb-10,73
X360,Rare Ltd.,4-Nov-10,73
DS,Intelligent Systems,8-Feb-10,73
DS,Exient Entertainment,26-Oct-10,73
PS3,"Tik Games, LLC",16-Nov-10,73
PS3,Visceral Games,29-Apr-10,72
DS,Konami,23-Feb-10,72
PC,Obsidian Entertainment,1-Jun-10,72
WII,Tons of Bits,27-Dec-10,72
X360,Gearbox Software,28-Sep-10,72
PSP,Team 17,22-Nov-10,72
WII,Yuke's,26-Oct-10,72
X360,Sega AM2,21-Apr-10,72
PSP,Mediatonic,22-Apr-10,72
PS3,Tri-Ace,16-Mar-10,72
PC,"Dice, Danger Close",12-Oct-10,72
PC,Larian Studios Games,5-Nov-10,72
DS,TT Fusion,29-Jun-10,72
PSP,Laughing Jackal,8-Jun-10,72
DS,Rising Star Games,25-May-10,72
DS,Virtual Toys,15-Feb-10,72
DS,NoWay Studio,25-Jan-10,72
X360,"Climax Group, Climax Studios",12-May-10,72
WII,"Tetris Online, Inc",25-May-10,72
WII,Deep Fried Entertainment,11-Jan-10,72
X360,Neversoft Entertainment,28-Sep-10,72
X360,Croteam,22-Sep-10,72
PC,Cyanide,16-Jun-10,72
X360,Dimps Corporation,13-Oct-10,72
PC,Doublesix,12-Aug-10,72
PC,Larian Studios Games,5-Jan-10,72
PC,Brendon Chung,26-Feb-10,72
PS3,TimeGate Studios,25-Mar-10,72
PS3,Quantic Dream,22-Sep-10,72
PS3,Game Republic,23-Nov-10,72
PS3,Disney Interactive Studios,3-Aug-10,72
WII,ChunSoft,9-Feb-10,71
WII,THQ,14-Nov-10,71
PSP,Frima Studio,20-Jul-10,71
X360,Klei Entertainment,25-Aug-10,71
X360,Compile Heart,26-Apr-10,71
PS3,Team 17,5-Oct-10,71
PC,EA Sports,6-Apr-10,71
PC,Telltale Games,22-Nov-10,71
PC,Paradox Development Studio,14-Dec-10,71
PC,Brawsome,7-Jun-10,71
DS,MumboJumbo,9-Nov-10,71
DS,Image & Form,5-Jul-10,71
PSP,TT Fusion,29-Jun-10,71
PSP,Laughing Jackal,8-Jun-10,71
PC,Press Play,8-Feb-10,71
PS3,Milestone S.r.l,18-Jun-10,71
PC,BioWare,6-Apr-10,71
WII,Capcom,15-Feb-10,71
PC,NeocoreGames,8-Oct-10,71
DS,"10tacle Studios, Fusionsphere Systems",22-Jun-10,71
DS,Matrix Software,5-Oct-10,71
PSP,XS Games,17-Mar-10,71
DS,Intrinsic Games,16-Aug-10,71
X360,BioWare,6-Apr-10,71
PSP,Acquire,1-Nov-10,71
PS3,EA Canada,15-Nov-10,71
WII,Rebellion,14-Dec-10,71
DS,Tag Games,15-Mar-10,71
WII,"LucasArts, Red Fly Studio",26-Oct-10,71
PSP,Project Aces,31-Aug-10,71
WII,Page 44 Studios,14-Nov-10,71
DS,Sabarasa Entertainment,29-Mar-10,71
PS3,SCEA,21-Dec-10,70
PC,Paradox Interactive,25-Feb-10,70
X360,Ruffian Games,6-Jul-10,70
PS3,Gameloft,3-Aug-10,70
PC,Fatshark AB,8-Apr-10,70
WII,Electronic Arts,27-Apr-10,70
PC,Hi-Rez Studios,1-Feb-10,70
PS3,SCEE London Studio,5-Sep-10,70
WII,WayForward,7-Sep-10,70
X360,Hudson Entertainment,8-Dec-10,70
DS,Gameloft,26-Apr-10,70
WII,PopCap,14-Jun-10,70
WII,Triangle Studios,4-Jan-10,70
DS,Genius Sonority Inc.,14-Jun-10,70
DS,Nintendo,10-May-10,70
PSP,"Artificial Mind and Movement, EA Redwood Shores",1-Mar-10,70
WII,Shin'en,28-Jun-10,70
PC,Wargaming.net,11-Mar-10,70
DS,n-Space,2-Nov-10,70
PC,StarWraith,17-Sep-10,70
DS,Creative Assembly,2-Mar-10,70
PC,ShadowRage,15-Apr-10,70
WII,Arcade Moon,5-Jul-10,70
PC,Telltale Games,30-Jun-10,70
PS3,"Climax Group, Climax Studios",18-May-10,70
DS,Game Republic,22-Jun-10,70
DS,Koei,11-May-10,70
PS3,Hijinx Studios,21-Jan-10,70
PS3,Ubisoft,7-Sep-10,70
PS3,Monumental Games,23-Mar-10,70
PC,Daedalic Entertainment,26-Apr-10,70
PC,"Monte Cristo Multimedia, Monte Cristo",14-Oct-10,70
DS,Universomo,20-Apr-10,70
X360,Obsidian Entertainment,21-Dec-10,70
X360,Gaijin Entertainment,16-Nov-10,70
PC,NetDevil,26-Oct-10,70
WII,Nintendo,12-Dec-10,70
X360,Konami,15-Dec-10,70
DS,Abylight,6-Dec-10,70
PC,Cateia Games,1-Nov-10,69
PSP,Novarama,12-Oct-10,69
DS,Wicked Studios,13-Sep-10,69
PSP,Eiconic Games,3-Aug-10,69
WII,Virtual Toys,19-Jul-10,69
WII,Backbone Entertainment,12-Apr-10,69
PC,BioWare,13-Jan-10,69
DS,Paon Corporation,18-Jan-10,69
PC,Techland,30-Nov-10,69
DS,Electronic Arts,19-Apr-10,69
X360,Monumental Games,23-Mar-10,69
PS3,Team 17,7-Dec-10,69
PSP,Just Add Water,20-Jul-10,69
PC,Stainless Games,15-Jun-10,69
X360,Croteam,13-Jan-10,69
X360,"NinjaBee, Bacon Wrapped Games",30-Jun-10,69
PSP,SCEI,10-Mar-10,69
X360,iNiS,2-Mar-10,69
DS,Prope,24-Aug-10,69
PSP,Alfa System,13-Sep-10,69
PC,Oddworld Inhabitants,20-Dec-10,69
DS,Cosmigo,16-Aug-10,69
X360,id Software,15-Dec-10,69
PC,Gearbox Software,28-Sep-10,69
DS,THQ,29-Jun-10,69
WII,Etranges Libellules,2-Mar-10,69
PSP,Electronic Arts,26-Apr-10,69
DS,Gameloft,10-May-10,69
WII,Skip Ltd.,21-Jun-10,68
DS,Creatures Inc.,4-Oct-10,68
X360,Infinity Ward,30-Mar-10,68
PC,Beenox,24-Nov-10,68
DS,Marvelous Entertainment,24-Aug-10,68
PC,Vogster,4-Dec-10,68
PS3,Cavia Inc.,27-Apr-10,68
WII,EnjoyUp Games,11-Jan-10,68
DS,Enjoy Gaming,5-Jul-10,68
DS,Next Wave Team,14-Jun-10,68
X360,Capcom,11-May-10,68
PC,"EXTEND Interactive, LLC., Extend Interactive",14-Dec-10,68
PSP,Sting,24-May-10,68
PC,Deep Shadows,21-Dec-10,68
PS3,Capcom,11-May-10,68
X360,Access Games,17-Feb-10,68
PC,Teotl Studios,26-Oct-10,68
X360,Vitamin G Studios,10-Nov-10,68
X360,Ubisoft,7-Sep-10,68
PC,Phil Hassey,11-Feb-10,68
WII,Nd Cube,3-Oct-10,68
X360,Hijinx Studios,20-Jan-10,68
PC,Nitro Games,30-Jul-10,68
X360,Team 17,17-Nov-10,68
X360,Blitz Games Studios,4-Nov-10,68
X360,EA Canada,16-Nov-10,68
DS,Two Tribes,29-Nov-10,68
PC,Rebellion,16-Feb-10,68
PS3,Fatshark AB,4-May-10,68
X360,Ninja Theory,23-Nov-10,68
PSP,Bulkypix,22-Apr-10,68
PSP,"EA Sports, HB Studios Multimedia",28-Sep-10,68
PS3,Milestone S.r.l,8-Oct-10,68
PS3,Empty Clip Studios,18-Mar-10,68
PS3,Compile Heart,27-Apr-10,67
PSP,SNK Playmore,23-Feb-10,67
PSP,Gamelion Studios,14-Dec-10,67
PS3,BioWare,6-Jul-10,67
PS3,"Tecmo, Pieces Interactive",4-Feb-10,67
X360,Strawdog Studios,16-Jun-10,67
X360,Cavia Inc.,27-Apr-10,67
PC,Vitamin G Studios,10-Nov-10,67
DS,"Chillingo Ltd, Chillingo Ltd., Chillingo",8-Mar-10,67
PS3,SCE Japan Studio,23-Nov-10,67
X360,Team 17,22-Sep-10,67
X360,Ubisoft Montreal,18-Feb-10,67
PS3,iSquared Games,22-Apr-10,67
WII,Capcom,11-Jan-10,67
WII,"Electronic Arts, Behaviour Interactive",28-Sep-10,67
DS,Cranberry Production,3-May-10,67
WII,Capcom,10-May-10,67
X360,Konami,4-Aug-10,67
PC,2K Czech,7-Sep-10,67
PS3,Ubisoft Montreal,18-Feb-10,67
PS3,2K Czech,7-Sep-10,67
PC,Klei Entertainment,25-Oct-10,67
X360,Southend Interactive,28-Apr-10,67
WII,Tri-Crescendo,16-Mar-10,67
DS,G5 Entertainment,22-Nov-10,67
PC,BioWare,18-May-10,66
PSP,G5 Software,18-May-10,66
PC,Phoenix Online Studios,10-Jul-10,66
PC,BioWare,6-Jul-10,66
X360,Milestone S.r.l,20-Oct-10,66
PC,Remode,20-Jan-10,66
PS3,Gaijin Entertainment,16-Nov-10,66
PS3,Q-Games,24-Aug-10,66
PS3,Techland,30-Nov-10,66
PC,Gaming Minds Studios,17-Sep-10,66
PC,Cryptic Studios,2-Feb-10,66
WII,PeakVox,24-May-10,66
PC,Ubisoft,22-Nov-10,66
PS3,Zen Studios,1-Jun-10,66
PC,Longbow Digital Arts,5-Nov-10,66
PS3,Southend Interactive,28-Apr-10,66
PC,Nixxes Software,17-Aug-10,66
PS3,Media Molecule,14-Dec-10,66
X360,Electronic Arts,26-Oct-10,66
PS3,Milestone S.r.l,26-Oct-10,66
PC,Autumn Moon,30-Aug-10,66
PSP,Halfbrick Studios,11-Mar-10,65
PC,Paradox Development Studio,7-Jun-10,65
WII,"Terminal Reality, 4mm Games",5-Oct-10,65
PS3,Gust,28-Sep-10,65
PS3,Rebellion,16-Feb-10,65
PC,Silent Dreams,15-Oct-10,65
PC,Sumo Digital,3-Mar-10,65
WII,Electronic Arts,26-Oct-10,65
WII,Capcom,12-Oct-10,65
PS3,Bizarre Creations,2-Nov-10,65
WII,Akaoni Studio,3-May-10,65
PS3,FluffyLogic,21-Dec-10,65
X360,Bongfish,8-Dec-10,65
PS3,SCEE London Studio,1-Nov-10,65
PSP,Ubisoft Quebec,17-May-10,65
WII,"10tacle Studios, Fusionsphere Systems",22-Jun-10,65
PC,Zombie Studios,14-Jul-10,65
PS3,Vicious Cycle,7-Jan-10,65
PC,Sony Online Entertainment,15-Sep-10,65
PS3,Obsidian Entertainment,1-Jun-10,64
PS3,Electronic Arts,26-Oct-10,64
WII,Telltale Games,16-Mar-10,64
WII,Onteca,16-Aug-10,64
PC,Gaijin Entertainment,19-Nov-10,64
X360,Spellbound,19-Oct-10,64
X360,Rebellion,16-Feb-10,64
PS3,Omega Force,16-Feb-10,64
DS,n-Space,2-Nov-10,64
PS3,Level 5,2-Feb-10,64
PC,Team 17,3-Jun-10,64
WII,different cloth,13-Dec-10,64
X360,SNK Playmore,9-Jun-10,64
WII,Virtuos,28-Sep-10,64
PC,Team 17,17-Nov-10,64
PS3,Rockstar San Diego,10-Aug-10,64
PS3,Konami,14-Dec-10,64
PSP,Nippon Ichi Software,8-Jun-10,64
PC,EA LA,16-Mar-10,64
DS,Ubisoft,23-Nov-10,64
DS,Takara Tomy,12-Nov-10,64
X360,Techland,30-Nov-10,64
WII,"Image Epoch, Imageepoch",27-Jul-10,64
PS3,LucasArts,26-Oct-10,63
X360,Obsidian Entertainment,1-Jun-10,63
X360,Gaming Minds Studios,13-Jul-10,63
PC,Team 17,22-Sep-10,63
DS,"Image Epoch, Imageepoch",12-Jan-10,63
PSP,Black Rock Studio,15-Nov-10,63
X360,Vicious Cycle,6-Jan-10,63
PC,Centauri Production,5-Nov-10,63
PC,Capcom,15-Oct-10,63
PS3,Zombie Studios,26-Oct-10,63
DS,EA Sports,8-Oct-10,63
DS,Tri-Crescendo,18-May-10,63
X360,Slick Entertainment,10-Mar-10,63
PC,Bizarre Creations,2-Nov-10,63
PC,Double Helix Games,28-Sep-10,63
PC,Eversim,30-Sep-10,63
PC,"Climax Group, Climax Studios",11-May-10,63
X360,Io Interactive,17-Aug-10,63
PSP,Spike,19-Oct-10,63
DS,Virtual Playground,24-May-10,63
X360,GCP1,4-Nov-10,63
PC,Spellbound,15-Oct-10,63
WII,Planet Moon Studios,23-Nov-10,63
PS3,"Creat Studios, Tik Games, LLC",25-Mar-10,63
PC,Etranges Libellules,2-Mar-10,63
DS,Goodbye Galaxy Games,22-Feb-10,63
PS3,Krome Studios,14-Sep-10,62
DS,Vicarious Visions,22-Jun-10,62
DS,Vicarious Visions,22-Jun-10,62
PSP,Konami,28-Jan-10,62
PC,"EA Black Box, EA Singapore",27-Jul-10,62
PC,Ubisoft Romania,2-Mar-10,62
PS3,Io Interactive,17-Aug-10,62
WII,EA Bright Light,16-Nov-10,62
PC,Stickmen Studios,15-Oct-10,62
X360,Frogwares,23-Apr-10,62
WII,Creatures Inc.,2-Nov-10,62
PS3,Gusto Games,16-Nov-10,62
WII,Ubisoft,21-Nov-10,62
X360,Larian Studios Games,6-Jan-10,62
DS,Arika,24-May-10,62
X360,Xpec,18-May-10,62
X360,2K Czech,7-Sep-10,62
X360,"Namco Bandai Games America, Namco Bandai Games",23-Nov-10,62
WII,NBGI,18-Jan-10,62
PSP,Icon Games,29-Jun-10,62
X360,Bizarre Creations,2-Nov-10,62
PS3,Electronic Arts,28-Sep-10,62
PS3,"Gust, Idea Factory",29-Jun-10,62
PC,Black Inc.,17-Nov-10,62
X360,Now Production,26-Oct-10,62
X360,Zombie Studios,7-Jul-10,61
PC,Softlab-NSK,16-Apr-10,61
PSP,Cyanide,13-Apr-10,61
PS3,Ubisoft Montreal,24-Oct-10,61
X360,Cyanide,26-Jan-10,61
X360,Ubisoft Montreal,24-Oct-10,61
X360,2K Czech,23-Nov-10,61
PS3,Capcom,12-Oct-10,61
X360,Volatile Games,27-Apr-10,61
PS3,Creat Studios,25-Mar-10,61
X360,Games Distillery,19-May-10,61
PC,ValuSoft,22-Nov-10,61
X360,"Sproing Interactive Media, Sproing",8-Sep-10,61
PS3,EA Bright Light,16-Nov-10,61
X360,LucasArts,26-Oct-10,61
PS3,Now Production,13-Jul-10,61
X360,Good Science Studio,4-Nov-10,61
X360,SNK Playmore,19-May-10,61
PS3,BioWare,7-Sep-10,61
PC,Invent4 Entertainment,19-Jul-10,61
WII,Vogster,31-May-10,61
X360,Exkee,26-May-10,61
PSP,CyberConnect2,11-May-10,61
X360,Rockstar San Diego,10-Aug-10,61
X360,Piranha Bytes,22-Feb-10,60
X360,Krome Studios,14-Sep-10,60
PS3,Cohort Studios,19-Oct-10,60
X360,EA Bright Light,16-Nov-10,60
PS3,Volatile Games,27-Apr-10,60
DS,Storm City Games,2-Feb-10,60
PS3,Hitmaker,16-Nov-10,60
PS3,Activision,19-Oct-10,60
PC,Lesta Studio,28-Jun-10,60
DS,Yullaby,7-Jun-10,60
PS3,"Koei, Omega Force",2-Nov-10,60
WII,Hudson Entertainment,23-Mar-10,60
WII,Boomzap,25-May-10,60
DS,MumboJumbo,8-Dec-10,60
PS3,Konami,16-Nov-10,60
PS3,Spike,2-Nov-10,60
X360,Naked Sky Entertainment,29-Dec-10,60
PC,"1C, 1C Company",26-Mar-10,60
DS,Griptonite Games,23-Mar-10,60
X360,Hitmaker,24-Nov-10,59
PC,LucasArts,26-Oct-10,59
X360,Airtight Games,19-Jan-10,59
X360,Regolith Games ltd,27-Jan-10,59
PS3,"Namco Bandai Games America, Namco Bandai Games",23-Nov-10,59
WII,TOSE,16-Nov-10,59
X360,Dark Energy Digital,29-Sep-10,59
X360,Omega Force,16-Feb-10,59
PC,"Viva Media, Viva Media, LLC",3-Aug-10,59
WII,Etranges Libellules,23-Mar-10,59
WII,Sega,9-Feb-10,59
WII,Konami,14-Jun-10,59
PS3,Airtight Games,19-Jan-10,59
X360,Koei,2-Nov-10,59
WII,n-Space,7-Dec-10,59
PS3,Gaijin Entertainment,26-Mar-10,59
WII,"Chillingo Ltd, Chillingo Ltd., Chillingo",8-Mar-10,59
PS3,Krome Studios,21-Sep-10,59
PSP,"Acquire, Goshow",13-Sep-10,59
WII,Ubisoft Montreal,24-Oct-10,59
X360,Etranges Libellules,23-Mar-10,58
PS3,Nex Entertainment,19-Oct-10,58
PS3,NaturalMotion,1-Jun-10,58
WII,Sega,30-Aug-10,58
DS,n-Space,7-Dec-10,58
WII,Team 17,23-Nov-10,58
PS3,Propaganda Games,7-Dec-10,58
X360,Double Helix Games,28-Sep-10,58
PC,Realtime Worlds,29-Jun-10,58
WII,Square Enix,21-Jun-10,58
PS3,Double Helix Games,28-Sep-10,58
X360,Propaganda Games,7-Dec-10,58
PC,Gearbox Software,7-Jan-10,58
PS3,Ubisoft Montreal,28-Jan-10,58
PS3,Gusto Games,5-Oct-10,58
PSP,Beatshapers,18-Mar-10,58
PC,Enlight Software,27-Jan-10,58
X360,Krome Studios,22-Sep-10,58
X360,Ubisoft Montreal,28-Jan-10,58
WII,SunSoft,8-Feb-10,58
PS3,TT Fusion,14-Sep-10,58
DS,AirPlay,29-Mar-10,58
DS,Cing,3-Aug-10,58
WII,Headstrong Games,14-Sep-10,58
WII,Gamelion Studios,19-Jul-10,58
PC,"Eurocom Entertainment Software, Eurocom",15-Jan-10,57
PC,BioWare,10-Aug-10,57
X360,Spike,2-Nov-10,57
PS3,The Bearded Ladies Consulting,13-Jul-10,57
PC,Propaganda Games,7-Dec-10,57
PC,Airtight Games,19-Jan-10,57
PS3,Xpec,18-May-10,57
X360,Infinite Interactive,21-Apr-10,57
WII,MBA International,27-Jan-10,57
DS,Hudson Soft,2-Mar-10,57
PC,City Interactive,23-Feb-10,57
X360,Big Ant Studios,9-Feb-10,57
PSP,SCEE London Studio,2-Nov-10,57
X360,Spiders,10-Nov-10,57
DS,Ubisoft Casablanca,18-May-10,57
X360,Premium Agency,20-Jan-10,56
WII,G1M2,19-Feb-10,56
PS3,Gearbox Software,7-Jan-10,56
DS,GlobZ,1-Mar-10,56
X360,Behaviour Interactive,28-Sep-10,56
PC,BioWare,7-Sep-10,56
PC,Akella,13-Jul-10,56
PC,4Head Studios,28-Jul-10,56
DS,Full Fat,16-Nov-10,56
PS3,SCE Studio Cambridge,12-Oct-10,56
X360,"Pipeworks Software, Inc.",14-Jul-10,56
DS,HandMade Game,23-Mar-10,56
X360,BioWare,7-Sep-10,56
PS3,Irem,23-Nov-10,56
PS3,Robomodo,26-Oct-10,56
DS,Griptonite Games,11-Feb-10,56
WII,"Ubisoft Paris, Ubisoft Montpellier",23-Nov-10,56
PS3,"Eurocom Entertainment Software, Eurocom",12-Jan-10,56
WII,THQ,14-Nov-10,56
WII,Lexis Numerique,30-Aug-10,56
X360,BioWare,18-May-10,56
PC,Xpec,18-May-10,56
PS3,Supermassive Games,7-Sep-10,55
X360,Ubisoft,28-Oct-10,55
WII,Artefacts Studio,8-Nov-10,55
WII,Omega Force,28-Sep-10,55
PC,City Interactive,24-Jun-10,55
WII,Zoe Mode,24-Aug-10,55
WII,Hudson,29-Mar-10,55
X360,Activision,19-Oct-10,55
DS,MumboJumbo,21-Sep-10,55
X360,Now Production,13-Jul-10,55
PC,Ino-Co,10-Nov-10,55
DS,Gameloft,1-Feb-10,55
X360,THQ,16-Nov-10,55
WII,Monkey Bar Games,6-Jul-10,55
PC,Petroglyph,20-Oct-10,55
X360,NaturalMotion,1-Jun-10,54
X360,"Tecmo, Pieces Interactive",24-Feb-10,54
DS,Sega Studios San Francisco,4-May-10,54
PS3,THQ,16-Nov-10,54
X360,BioWare,13-Jan-10,54
PSP,Konami,26-Jan-10,54
X360,"Eurocom Entertainment Software, Eurocom",12-Jan-10,54
DS,WayForward,6-Jul-10,54
PSP,Virtuos,15-Nov-10,54
WII,Tantatus,14-Sep-10,54
DS,White Birds Productions,16-Feb-10,54
WII,Square Enix,21-Jun-10,54
PC,EA Bright Light,16-Nov-10,54
DS,Saturnine Games,30-Aug-10,54
PS3,Immersion Software & Graphics,12-Oct-10,54
PC,AGEOD,9-Mar-10,54
DS,Neko Entertainment,22-Feb-10,53
WII,Visual Concepts,2-Mar-10,53
WII,Namco Bandai Games,16-Nov-10,53
WII,THQ,29-Jun-10,53
PC,Realmforge Studios,19-Apr-10,53
X360,Robomodo,26-Oct-10,53
DS,GungHo,16-Feb-10,53
WII,Nabi Studios,12-Jul-10,53
PC,Stardock,24-Aug-10,53
DS,City Interactive,22-Jun-10,53
PC,Krome Studios,22-Sep-10,52
X360,BigPark,4-Nov-10,52
WII,Agenda,1-Mar-10,52
PS3,Rockin' Android,9-Nov-10,52
PS3,Creat Studios,7-Sep-10,52
DS,Cing,2-Apr-10,52
WII,Inaria Interactive,7-Jun-10,52
WII,Black Lantern Studios,31-May-10,52
DS,Game Life,13-Apr-10,52
X360,"Papaya Studios, Papaya Studio",19-Oct-10,51
X360,Vogster,1-Dec-10,51
X360,FUN Labs,7-Sep-10,51
PS3,Etranges Libellules,23-Mar-10,51
WII,Asobo Studio,9-Mar-10,51
X360,ImaginEngine,28-Oct-10,50
PSP,Point of View,21-Jun-10,50
WII,The Code Monkeys,24-May-10,50
PS3,Sonic Team,21-Sep-10,50
WII,Exient Entertainment,16-Nov-10,50
PS3,Now Production,26-Oct-10,50
DS,City Interactive,12-Oct-10,50
PS3,Virtual Air Guitar Company,7-Dec-10,50
X360,Konami,4-Nov-10,50
X360,Lionhead Studios,23-Nov-10,50
WII,DreamBox Games,1-Nov-10,50
PC,Square Enix,22-Sep-10,49
PS3,Doublesix,17-Aug-10,49
PSP,"Buzz Monkey, EA Montreal",11-Jan-10,49
X360,Immersion Software & Graphics,12-Oct-10,49
WII,THQ,16-Nov-10,49
WII,Hudson Entertainment,9-Mar-10,49
PSP,High Voltage Software,3-May-10,49
PC,VSTEP,27-Aug-10,49
WII,Longtail Studios,15-Jun-10,48
PSP,Gameloft,21-Dec-10,48
WII,Artoon,7-Nov-10,48
PS3,Coldwood Interactive,9-Nov-10,48
X360,Epicenter Studios,19-Oct-10,48
X360,Sonic Team,15-Sep-10,48
PS3,Crave,29-Nov-10,48
WII,DK Games,5-Apr-10,48
WII,Ubisoft,9-Nov-10,47
X360,Zombie Studios,19-Oct-10,47
PS3,Farsight Studios,22-Sep-10,47
WII,Virtual Identity,24-Jun-10,47
PS3,"Digital Leisure Inc., Digital Leisure",23-Nov-10,47
PC,Beyond The Pillars,15-Oct-10,47
X360,Sega,4-Nov-10,47
PS3,Sidhe Interactive,2-Nov-10,47
DS,Beyond Reality,2-Mar-10,47
PC,Telltale Games,26-Oct-10,47
PC,ZootFly,30-Mar-10,47
WII,"Majesco Games, Majesco, Frozen North Productions",25-Oct-10,47
DS,"Neverland, Idea Factory",12-Mar-10,46
